,ST_NUM,ST_NAME,ST_NAME_SUF,ZIPCODE,PTYPE,LU,OWN_OCC,AV_LAND,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF,YR_BUILT,YR_REMOD,GROSS_AREA,LIVING_AREA,NUM_FLOORS,STRUCTURE_CLASS,R_BLDG_STYL,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RMS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_BTH_STYLE,R_BTH_STYLE2,R_BTH_STYLE3,R_KITCH,R_KITCH_STYLE,R_KITCH_STYLE2,R_KITCH_STYLE3,R_HEAT_TYP,R_AC,R_FPLACE,R_EXT_CND,R_OVRALL_CND,R_INT_CND,R_INT_FIN,R_VIEW,ST_ADDRESS,SALE_PRICE
0,1,EMMONS,ST,2128,101,R1,N,102400,269100,371500,389332,1320.0,1910.0,2016.0,1862,1188,2.0,R,RE,F,V,6,3,2,1,M,M,M,1,M,,,W,N,0,A,A,G,N,A,1 emmons st,320000
1,1,GREENWICH,CT,2120,101,R1,Y,112100,338700,450800,472439,564.0,1900.0,1999.0,1365,1258,2.0,R,RM,F,B,5,2,2,0,M,M,,1,M,,,F,C,0,G,G,G,N,A,1 greenwich ct,745000
2,1,LAROSE,PL,2135,104,R2,N,206100,779000,985100,1032385,4442.0,2014.0,,5076,3079,2.0,R,DX,G,M,10,6,4,2,M,M,M,2,M,M,,F,C,0,G,G,G,N,A,1 larose pl,1370000
3,1,LAUREL,ST,2129,101,R1,Y,278800,1535900,1814700,1901806,1096.0,1855.0,1995.0,2813,2022,3.0,R,SD,F,B,8,3,2,0,M,M,M,1,M,,,W,C,2,G,G,G,E,G,1 laurel st,1630000
4,1,LAWNWOOD,PL,2129,101,R1,Y,221000,625700,846700,887342,1197.0,1855.0,0.0,2872,2180,3.0,R,RM,M,B,10,4,1,0,N,,,1,N,,,W,N,0,A,A,A,N,A,1 lawnwood pl,1000000
5,1,PLEASANT STREET,CT,2129,101,R1,Y,250700,759700,1010400,1058900,1000.0,1839.0,2001.0,2268,1701,3.0,R,RE,G,F,6,3,2,1,M,M,M,1,M,,,W,C,1,G,G,G,N,A,1 pleasant street ct,1360000
6,1,ROWEN,CT,2130,101,R1,Y,96100,250000,346100,362713,1200.0,1999.0,,1638,1094,2.5,R,CL,G,M,6,3,1,1,M,M,,1,M,,,F,C,0,A,G,G,N,F,1 rowen ct,567500
7,1,SHENANDOAH,ST,2124,104,R2,Y,170700,443700,614400,643892,5748.0,1900.0,0.0,5920,3353,2.5,R,CV,H,M,11,5,2,0,S,S,,2,S,M,,W,N,2,A,A,A,N,A,1 shenandoah st,701000
8,1,STRONG,PL,2114,101,R1,N,569600,879400,1449000,1518552,740.0,1890.0,2014.0,2220,1458,2.5,R,RE,S,B,5,3,2,1,M,M,M,1,M,,,F,C,0,A,G,G,N,P,1 strong pl,1600000
9,1,WOODVILLE,ST,2119,101,R1,Y,71500,167900,239400,250891,2100.0,1880.0,0.0,3702,2248,2.0,R,CL,G,M,11,5,2,1,S,S,S,1,S,,,W,N,1,A,A,A,N,A,1 woodville st,369000
10,10,ADAMSON,ST,2134,101,R1,Y,200400,301100,501500,525572,5000.0,1900.0,0.0,2026,1324,2.0,R,SD,G,M,6,3,1,1,S,S,,1,S,,,W,N,0,A,A,A,N,A,10 adamson st,550000
11,10,ARBUTUS,ST,2124,101,R1,Y,84900,215100,300000,314400,2685.0,1991.0,0.0,1720,1520,2.0,R,SD,G,M,6,3,2,0,S,S,,1,S,,,W,N,0,A,A,A,N,A,10 arbutus st,300000
12,10,ARDALE,ST,2131,101,R1,Y,165000,299300,464300,486587,4964.0,1900.0,2016.0,2380,1506,2.0,R,CL,G,A,6,3,1,0,S,,,1,M,,,W,N,0,A,G,A,N,A,10 ardale st,675000
13,10,ASHMONT,ST,2124,101,R1,Y,131100,410200,541300,567283,3713.0,1900.0,2013.0,3844,2373,2.5,R,CL,H,U,9,5,2,1,M,M,M,1,M,,,W,N,0,A,G,G,N,A,10 ashmont st,801000
14,10,BEETHOVEN,ST,2119,104,R2,N,157700,417000,574700,602286,3800.0,1905.0,2016.0,3711,2442,2.0,R,TF,M,M,9,5,2,1,M,M,M,2,M,M,,F,N,0,A,A,G,N,A,10 beethoven st,425000
15,10,BROCKTON,ST,2126,104,R2,N,116600,277700,394300,413226,5870.0,1935.0,1989.0,4362,2652,2.0,R,TF,H,M,11,6,2,0,S,S,,2,S,S,,W,N,0,G,A,A,N,A,10 brockton st,325000
